date,edits,lives,covid_edits,covid_lives,covid_edits_percent,covid_lives_percent,culumative_edits,culumative_lives
20210101,78,11,18,0,20,0,18,0
20210102,67,1,28,0,41,0,46,0
20210103,64,5,21,0,30,0,67,0
20210104,100,14,48,4,42,4,115,4
20210105,107,15,33,5,27,4,148,9
20210106,129,30,32,6,20,4,180,15
20210107,121,19,27,5,19,4,207,20
20210108,92,12,30,6,29,6,237,26
20210109,66,4,11,1,16,1,248,27
20210110,67,4,21,2,30,3,269,29
20210111,106,15,49,5,40,4,318,34
20210112,117,20,40,5,29,4,358,39
20210113,110,19,44,5,34,4,402,44
20210114,118,9,37,2,29,2,439,46
20210115,132,16,53,4,36,3,492,50
20210116,64,6,27,4,39,6,519,54
20210117,69,5,23,1,31,1,542,55
20210118,111,13,57,6,46,5,599,61
20210119,97,30,31,7,24,6,630,68
20210120,128,27,23,2,15,1,653,70
20210121,125,21,47,6,32,4,700,76
20210122,111,13,41,6,33,5,741,82
20210123,93,11,29,3,28,3,770,85
20210124,80,3,38,0,46,0,808,85
20210125,93,18,46,4,41,4,854,89
20210126,136,20,67,5,43,3,921,94
20210127,131,25,54,7,35,4,975,101
20210128,116,19,49,6,36,4,1024,107
20210129,96,18,42,7,37,6,1066,114
20210130,76,0,35,0,46,0,1101,114
20210131,85,8,34,2,37,2,1135,116
20210201,129,14,54,8,38,6,1189,124
20210202,128,21,54,3,36,2,1243,127
20210203,119,14,46,6,35,5,1289,133
20210204,92,15,31,4,29,4,1320,137
20210205,109,23,33,4,25,3,1353,141
20210206,56,2,13,0,22,0,1366,141
20210207,98,2,27,0,27,0,1393,141
20210208,108,14,41,5,34,4,1434,146
20210209,128,17,38,4,26,3,1472,150
20210210,119,19,44,7,32,5,1516,157
20210211,116,15,35,4,27,3,1551,161
20210212,122,18,46,3,33,2,1597,164
20210213,86,8,25,0,27,0,1622,164
20210214,97,6,37,2,36,2,1659,166
20210215,116,10,52,5,41,4,1711,171
20210216,131,12,46,2,32,1,1757,173
20210217,139,15,56,7,36,5,1813,180
20210218,107,17,27,4,22,3,1840,184
20210219,119,11,31,3,24,2,1871,187
20210220,87,7,31,0,33,0,1902,187
20210221,65,3,20,0,29,0,1922,187
20210222,97,20,33,7,28,6,1955,194
20210223,125,21,42,2,29,1,1997,196
20210224,120,15,50,6,37,4,2047,202
20210225,104,16,40,7,33,6,2087,209
20210226,121,17,54,7,39,5,2141,216
20210227,77,8,30,4,35,5,2171,220
20210228,65,7,19,2,26,3,2190,222
20210301,122,19,48,3,34,2,2238,225
20210302,117,15,50,3,38,2,2288,228
20210303,132,17,52,6,35,4,2340,234
20210304,93,17,27,5,25,5,2367,239
20210305,126,16,53,8,37,6,2420,247
20210306,59,5,19,2,30,3,2439,249
20210307,77,9,17,1,20,1,2456,250
20210308,142,15,37,3,24,2,2493,253
20210309,120,11,32,0,24,0,2525,253
20210310,104,18,33,5,27,4,2558,258
20210311,121,17,39,2,28,1,2597,260
20210312,112,15,46,8,36,6,2643,268
20210313,69,3,20,0,28,0,2663,268
20210314,76,5,20,3,25,4,2683,271
20210315,109,17,44,5,35,4,2727,276
20210316,108,17,46,8,37,6,2773,284
20210317,120,19,36,7,26,5,2809,291
20210318,116,20,44,8,32,6,2853,299
20210319,105,18,39,10,32,8,2892,309
20210320,92,13,28,4,27,4,2920,313
20210321,77,8,15,3,18,4,2935,316
20210322,124,25,44,7,30,5,2979,323
20210323,124,20,36,6,25,4,3015,329
20210324,118,13,44,3,34,2,3059,332
20210325,126,18,39,2,27,1,3098,334
20210326,101,9,30,2,27,2,3128,336
20210327,70,5,16,0,21,0,3144,336
20210328,70,2,20,0,28,0,3164,336
20210329,97,13,40,3,36,3,3204,339
20210330,106,17,35,6,28,5,3239,345
20210331,112,13,49,4,39,3,3288,349
20210401,101,12,48,3,42,3,3336,352
20210402,82,17,27,1,27,1,3363,353
20210403,75,8,34,1,41,1,3397,354
20210404,73,6,16,0,20,0,3413,354
20210405,88,10,31,2,32,2,3444,356
20210406,92,11,39,4,38,4,3483,360
20210407,93,11,31,2,30,2,3514,362
20210408,101,12,33,0,29,0,3547,362
20210409,122,30,35,3,23,2,3582,365
20210410,59,14,6,0,8,0,3588,365
20210411,62,12,9,1,12,1,3597,366
20210412,131,19,51,3,34,2,3648,369
20210413,108,26,46,6,34,4,3694,375
20210414,120,19,43,7,31,5,3737,382
20210415,114,22,31,6,23,4,3768,388
20210416,99,14,26,2,23,2,3794,390
20210417,83,14,10,0,10,0,3804,390
20210418,78,3,18,1,22,1,3822,391
20210419,145,16,34,1,21,1,3856,392
20210420,110,24,23,3,17,2,3879,395
20210421,122,18,31,2,22,1,3910,397
20210422,112,11,24,3,20,2,3934,400
20210423,137,16,34,5,22,3,3968,405
20210424,67,3,19,1,27,1,3987,406
20210425,70,5,15,2,20,3,4002,408
20210426,96,12,28,3,26,3,4030,411
20210427,116,14,47,3,36,2,4077,414
20210428,115,10,38,3,30,2,4115,417
20210429,116,24,37,7,26,5,4152,424
20210430,107,13,34,2,28,2,4186,426
20210501,81,8,24,0,27,0,4210,426
20210502,84,3,18,0,21,0,4228,426
20210503,98,9,31,1,29,1,4259,427
20210504,107,16,29,1,24,1,4288,428
20210505,103,13,22,3,19,3,4310,431
20210506,115,16,29,2,22,2,4339,433
20210507,121,12,39,2,29,2,4378,435
20210508,81,12,17,1,18,1,4395,436
20210509,91,3,22,0,23,0,4417,436
20210510,140,16,37,2,24,1,4454,438
20210511,118,15,30,3,23,2,4484,441
20210512,150,19,21,4,12,2,4505,445
20210513,108,10,24,1,20,1,4529,446
20210514,108,12,30,2,25,2,4559,448
20210515,84,10,15,0,16,0,4574,448
20210516,99,6,13,0,12,0,4587,448
20210517,122,10,30,2,23,2,4617,450
20210518,140,19,21,1,13,1,4638,451
20210519,142,15,28,2,18,1,4666,453
20210520,123,21,20,4,14,3,4686,457
20210521,156,17,36,3,21,2,4722,460
20210522,90,6,6,0,6,0,4728,460
20210523,108,9,11,0,9,0,4739,460
20210524,115,13,24,1,19,1,4763,461
20210525,113,18,15,0,11,0,4778,461
20210526,128,21,21,2,14,1,4799,463
20210527,114,16,21,0,16,0,4820,463
20210528,121,20,22,6,16,4,4842,469
20210529,80,4,14,0,17,0,4856,469
20210530,79,6,9,0,11,0,4865,469
20210531,116,15,25,3,19,2,4890,472
20210601,110,17,23,2,18,2,4913,474
20210602,103,13,18,3,16,3,4931,477
20210603,95,13,18,1,17,1,4949,478
20210604,119,14,28,1,21,1,4977,479
20210605,45,2,7,0,15,0,4984,479
20210606,75,1,9,0,12,0,4993,479
20210607,114,14,28,1,22,1,5021,480
20210608,130,13,23,2,16,1,5044,482
20210609,117,16,21,1,16,1,5065,483
20210610,114,19,20,2,15,2,5085,485
20210611,102,12,10,0,9,0,5095,485
20210612,93,9,6,0,6,0,5101,485
20210613,108,13,10,0,8,0,5111,485
20210614,116,19,19,2,14,1,5130,487
20210615,127,23,17,0,11,0,5147,487
20210616,138,26,20,0,12,0,5167,487
20210617,137,15,20,1,13,1,5187,488
20210618,118,14,20,3,15,2,5207,491
20210619,100,3,9,0,9,0,5216,491
20210620,97,10,7,0,7,0,5223,491
20210621,129,15,21,1,15,1,5244,492
20210622,131,14,18,2,12,1,5262,494
20210623,129,21,13,1,9,1,5275,495
20210624,124,21,11,2,8,1,5286,497
20210625,148,29,22,1,12,1,5308,498
20210626,122,10,20,0,15,0,5328,498
20210627,113,8,10,0,8,0,5338,498
20210628,153,13,27,1,16,1,5365,499
20210629,147,16,13,1,8,1,5378,500
20210630,127,20,16,0,11,0,5394,500
20210701,142,17,28,4,18,3,5422,504
20210702,120,15,14,1,10,1,5436,505
20210703,82,7,16,1,18,1,5452,506
20210704,61,9,7,0,10,0,5459,506
20210705,113,19,24,1,18,1,5483,507
20210706,129,18,20,2,14,1,5503,509
20210707,146,17,18,2,11,1,5521,511
20210708,118,18,23,0,17,0,5544,511
20210709,131,17,18,1,12,1,5562,512
20210710,69,2,5,0,7,0,5567,512
20210711,107,14,4,0,3,0,5571,512
20210712,106,19,15,2,12,2,5586,514
20210713,128,12,31,4,22,3,5617,518
20210714,125,13,17,0,12,0,5634,518
20210715,145,22,16,2,10,1,5650,520
20210716,134,11,21,0,14,0,5671,520
20210717,90,4,19,0,20,0,5690,520
20210718,86,9,10,1,11,1,5700,521
20210719,124,16,18,2,13,1,5718,523
20210720,121,17,18,0,13,0,5736,523
20210721,112,14,20,3,16,2,5756,526
20210722,102,15,15,1,13,1,5771,527
20210723,93,10,19,0,18,0,5790,527
20210724,72,7,25,5,32,6,5815,532
20210725,82,5,15,1,17,1,5830,533
20210726,92,15,17,2,16,2,5847,535
20210727,112,9,30,1,25,1,5877,536
20210728,106,11,19,0,16,0,5896,536
20210729,94,8,19,1,19,1,5915,537
20210730,91,11,27,3,26,3,5942,540
20210731,58,5,17,1,27,2,5959,541
20210801,62,2,14,0,22,0,5973,541
20210802,84,10,18,1,19,1,5991,542
20210803,89,16,11,1,10,1,6002,543
20210804,97,15,21,1,19,1,6023,544
20210805,82,10,14,0,15,0,6037,544
20210806,107,6,15,0,13,0,6052,544
20210807,59,5,12,1,19,2,6064,545
20210808,63,3,9,0,14,0,6073,545
20210809,93,11,23,2,22,2,6096,547
20210810,88,14,17,1,17,1,6113,548
20210811,100,13,13,1,12,1,6126,549
20210812,94,10,14,1,13,1,6140,550
20210813,99,14,7,0,6,0,6147,550
20210814,63,3,11,0,17,0,6158,550
20210815,84,5,8,0,9,0,6166,550
20210816,95,18,7,0,6,0,6173,550
20210817,118,13,9,1,7,1,6182,551
20210818,108,18,13,3,10,2,6195,554
20210819,107,17,7,0,6,0,6202,554
20210820,105,15,9,1,8,1,6211,555
20210821,94,12,10,0,9,0,6221,555
20210822,95,13,6,0,6,0,6227,555
20210823,104,18,13,2,11,2,6240,557
20210824,116,17,10,1,8,1,6250,558
20210825,117,14,17,1,13,1,6267,559
20210826,108,25,9,0,7,0,6276,559
20210827,108,20,5,2,4,2,6281,561
20210828,90,10,10,0,10,0,6291,561
20210829,92,8,5,0,5,0,6296,561
20210830,107,15,10,0,8,0,6306,561
20210831,134,15,10,0,7,0,6316,561
20210901,130,19,22,0,15,0,6338,561
20210902,130,18,7,0,5,0,6345,561
20210903,110,12,6,0,5,0,6351,561
20210904,90,2,5,0,5,0,6356,561
20210905,80,4,7,0,8,0,6363,561
20210906,101,9,13,1,12,1,6376,562
20210907,118,15,10,2,8,2,6386,564
20210908,125,14,15,2,11,1,6401,566
20210909,107,20,13,2,10,2,6414,568
20210910,112,21,11,2,8,2,6425,570
20210911,108,27,7,0,5,0,6432,570
20210912,90,8,4,0,4,0,6436,570
20210913,124,14,18,0,13,0,6454,570
20210914,141,21,13,2,8,1,6467,572
20210915,106,15,11,0,9,0,6478,572
20210916,111,12,6,0,5,0,6484,572
20210917,109,20,18,0,14,0,6502,572
20210918,61,6,7,0,10,0,6509,572
20210919,68,2,5,0,7,0,6514,572
20210920,108,17,10,0,8,0,6524,572
20210921,110,17,7,0,6,0,6531,572
20210922,118,15,13,3,10,2,6544,575
20210923,107,15,7,2,6,2,6551,577
20210924,114,14,10,0,8,0,6561,577
20210925,91,11,10,0,10,0,6571,577
20210926,104,11,6,0,5,0,6577,577
20210927,111,14,14,1,11,1,6591,578
20210928,96,8,12,0,12,0,6603,578
20210929,94,14,9,0,8,0,6612,578
20210930,119,16,9,0,7,0,6621,578
